INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	1	, 	'/images/1.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	191	, 	'/images/191.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	192	, 	'/images/192.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	193	, 	'/images/193.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	194	, 	'/images/194.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	195	, 	'/images/195.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	196	, 	'/images/196.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	197	, 	'/images/197.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	198	, 	'/images/198.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	199	, 	'/images/199.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	200	, 	'/images/200.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	201	, 	'/images/201.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	202	, 	'/images/202.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	203	, 	'/images/203.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	204	, 	'/images/204.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	205	, 	'/images/205.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	206	, 	'/images/206.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	207	, 	'/images/207.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	208	, 	'/images/208.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	209	, 	'/images/209.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	210	, 	'/images/210.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	211	, 	'/images/211.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	212	, 	'/images/212.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	213	, 	'/images/213.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	214	, 	'/images/214.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	215	, 	'/images/215.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	216	, 	'/images/216.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	217	, 	'/images/217.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	218	, 	'/images/218.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	219	, 	'/images/219.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	220	, 	'/images/220.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	221	, 	'/images/221.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	222	, 	'/images/222.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	223	, 	'/images/223.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	224	, 	'/images/224.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	225	, 	'/images/225.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	226	, 	'/images/226.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	227	, 	'/images/227.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	228	, 	'/images/228.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	229	, 	'/images/229.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	230	, 	'/images/230.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	231	, 	'/images/231.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	232	, 	'/images/232.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	233	, 	'/images/233.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	234	, 	'/images/234.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	235	, 	'/images/235.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	236	, 	'/images/236.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	237	, 	'/images/237.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	238	, 	'/images/238.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	239	, 	'/images/239.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	240	, 	'/images/240.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	241	, 	'/images/241.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	242	, 	'/images/242.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	243	, 	'/images/243.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	244	, 	'/images/244.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	245	, 	'/images/245.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	246	, 	'/images/246.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	247	, 	'/images/247.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	248	, 	'/images/248.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	249	, 	'/images/249.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	250	, 	'/images/250.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	251	, 	'/images/251.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	252	, 	'/images/252.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	253	, 	'/images/253.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	254	, 	'/images/254.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	255	, 	'/images/255.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	256	, 	'/images/256.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	257	, 	'/images/257.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	258	, 	'/images/258.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	259	, 	'/images/259.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	260	, 	'/images/260.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	261	, 	'/images/261.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	262	, 	'/images/262.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	263	, 	'/images/263.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	264	, 	'/images/264.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	265	, 	'/images/265.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	266	, 	'/images/266.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	267	, 	'/images/267.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	268	, 	'/images/268.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	269	, 	'/images/269.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	270	, 	'/images/270.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	271	, 	'/images/271.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	272	, 	'/images/272.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	273	, 	'/images/273.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	274	, 	'/images/274.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	275	, 	'/images/275.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	276	, 	'/images/276.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	277	, 	'/images/277.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	278	, 	'/images/278.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	279	, 	'/images/279.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	280	, 	'/images/280.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	281	, 	'/images/281.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	282	, 	'/images/282.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	283	, 	'/images/283.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	284	, 	'/images/284.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	285	, 	'/images/285.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	286	, 	'/images/286.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	287	, 	'/images/287.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	288	, 	'/images/288.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	289	, 	'/images/289.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	290	, 	'/images/290.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	291	, 	'/images/291.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	292	, 	'/images/292.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	293	, 	'/images/293.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	294	, 	'/images/294.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	295	, 	'/images/295.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	296	, 	'/images/296.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	297	, 	'/images/297.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	298	, 	'/images/298.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	299	, 	'/images/299.jpg'	);
INSERT INTO pd_imgpath (imgid, productid, imgpath) VALUES (	pd_imgpath_seq.NEXTVAL	, 	300	, 	'/images/300.jpg'	);
