	modelname		description		price		condition		brand	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	710000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo X80 Pro'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	580000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Velvet'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	350000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	700000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	690000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	840000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'거의 새 거예요. 사용감 없어요!'	, 	830000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'사용감 거의 없고 상태 좋아요.'	, 	520000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1060000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	780000	, 	'C'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	400000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 거의 없고 상태 좋아요.'	, 	510000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1010000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 거의 없고 상태 좋아요.'	, 	730000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme Narzo 50'	, 	'사용감 거의 없고 상태 좋아요.'	, 	700000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	980000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy A52'	, 	'사용감 거의 없고 상태 좋아요.'	, 	920000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	220000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 10 IV'	, 	'거의 새 거예요. 사용감 없어요!'	, 	800000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1070000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'거의 새 거예요. 사용감 없어요!'	, 	950000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1120000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	690000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	530000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	550000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1160000	, 	'A'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	760000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus Nord CE'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1160000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	570000	, 	'B'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'사용감 거의 없고 상태 좋아요.'	, 	800000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 10 IV'	, 	'거의 새 거예요. 사용감 없어요!'	, 	210000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto G Power'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1080000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	320000	, 	'C'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus Nord CE'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1170000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	910000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 9 Pro'	, 	'거의 새 거예요. 사용감 없어요!'	, 	530000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	350000	, 	'B'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo A76'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	920000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'거의 새 거예요. 사용감 없어요!'	, 	490000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia 5.4'	, 	'사용감 거의 없고 상태 좋아요.'	, 	930000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus Nord CE'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	280000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'거의 새 거예요. 사용감 없어요!'	, 	520000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 1 V'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1050000	, 	'B'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	540000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1130000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'거의 새 거예요. 사용감 없어요!'	, 	390000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1000000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Find X5'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	580000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	650000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	360000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy A52'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1170000	, 	'B'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	540000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S23'	, 	'거의 새 거예요. 사용감 없어요!'	, 	350000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1090000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'사용감 거의 없고 상태 좋아요.'	, 	660000	, 	'A'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 거의 없고 상태 좋아요.'	, 	450000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 14 Pro'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	610000	, 	'B'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus Nord CE'	, 	'사용감 거의 없고 상태 좋아요.'	, 	450000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	490000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	260000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 거의 없고 상태 좋아요.'	, 	880000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	280000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	420000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1020000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	590000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG G8 ThinQ'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	990000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	930000	, 	'B'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo Y21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	470000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	250000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'거의 새 거예요. 사용감 없어요!'	, 	210000	, 	'S'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1190000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	970000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 10 IV'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	840000	, 	'C'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	560000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor X8'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1080000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	520000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1130000	, 	'A'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	520000	, 	'B'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor Magic4'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	800000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	550000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	770000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1030000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	820000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	730000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	220000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1040000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1130000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia 5.4'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1060000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	450000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus 11'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	360000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 12 Mini'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1200000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia X10'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1150000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	300000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy S21'	, 	'거의 새 거예요. 사용감 없어요!'	, 	840000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	1150000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	760000	, 	'C'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia X10'	, 	'사용감 거의 없고 상태 좋아요.'	, 	250000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy Z Fold5'	, 	'사용감 거의 없고 상태 좋아요.'	, 	260000	, 	'A'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Poco F5'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1140000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone SE'	, 	'거의 새 거예요. 사용감 없어요!'	, 	330000	, 	'S'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 14 Pro'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	820000	, 	'C'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Moto Edge 30'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	990000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	340000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo X80 Pro'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1110000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Razr 2022'	, 	'거의 새 거예요. 사용감 없어요!'	, 	780000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'LG Wing'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	600000	, 	'B'	, 	'LG'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'iPhone 14 Pro'	, 	'사용감 거의 없고 상태 좋아요.'	, 	1050000	, 	'A'	, 	'Apple'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'거의 새 거예요. 사용감 없어요!'	, 	510000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Galaxy A52'	, 	'거의 새 거예요. 사용감 없어요!'	, 	410000	, 	'S'	, 	'Samsung'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Realme 10'	, 	'사용감 거의 없고 상태 좋아요.'	, 	840000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo X80 Pro'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	390000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo V23'	, 	'거의 새 거예요. 사용감 없어요!'	, 	620000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Nokia X10'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	290000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1070000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Axon 40'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	500000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'거의 새 거예요. 사용감 없어요!'	, 	550000	, 	'S'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'OnePlus Nord CE'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	600000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'ZTE Blade V40'	, 	'사용감 거의 없고 상태 좋아요.'	, 	890000	, 	'A'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Oppo Reno 8'	, 	'기스가 좀 있어서 싸게 내놔요~'	, 	1190000	, 	'B'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Zenfone 9'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	660000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Xperia 5 III'	, 	'거의 새 거예요. 사용감 없어요!'	, 	1110000	, 	'S'	, 	'Sony'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Honor 70'	, 	'사용감 많지만 작동은 잘 돼요!'	, 	770000	, 	'C'	, 	'기타'	);
INSERT INTO pd_product (productid, modelname, description, price, condition, brand) VALUES (	pd_product_seq.NEXTVAL	, 	'Vivo Y21'	, 	'사용감 거의 없고 상태 좋아요.'	, 	890000	, 	'A'	, 	'기타'	);
